age,fl 
1,26.08064516
1,21.92753623
1,32.49655172
1,25.872
1,26.5
1,43.01762115
1,28.95683453
1,28.78145695
1,25.18421053
1,21.9895288
1,31.40789474
1,28.62561576
1,17.10059172
1,30.51612903
1,28.25179856
1,32.80952381
1,36
1,45.58974359
1,47.63451777
1,24.00641026
1,32.3559322
1,27.17557252
1,25.33333333
1,27.65363128
1,19.23664122
1,32.12598425
1,18.76363636
1,30.1640625
1,31.89349112
1,31.36296296
1,38.84892086
1,26.4
1,27.10638298
1,28.16546763
1,27.84210526
1,33.33816425
1,22.8974359
1,38.47407407
1,27.5
1,25.04347826
1,24.00641026
1,25.25179856
1,24.77083333
1,22.20359281
1,21.51955307
1,42.3442623
1,33.62264151
1,45.90862944
1,27.50632911
1,29.74396135
1,31.59562842
1,44.0591716
1,32.92405063
1,18.46153846
1,28.27586207
1,26.41346154
1,35.06382979
1,27.89552239
1,32.74468085
1,19.712
1,24.83870968
1,35.38
1,38.58741259
1,25.74814815
1,24.41025641
1,29.8952381
1,33.25581395
1,29.42307692
1,24.10606061
1,21.9375
1,17.671875
1,32.12582781
1,34.39534884
1,31.39230769
1,25.52884615
1,23.20634921
1,34.82857143
1,22
1,19.4965035
1,21.16551724
1,20.16666667
1,18.02325581
1,25.75757576
1,18.84076433
1,21.18103448
1,15.86666667
1,24.02173913
1,15.21126761
1,29.41726619
1,13.6119403
1,22.17857143
1,23.52328767
1,19.64661654
1,34.68656716
1,29.80487805
1,28.17241379
1,24.17197452
1,37
1,27.27272727
1,34.93181818
1,21.33333333
1,28
1,36
1,25.88349515
1,27.5047619
1,23.88489209
1,34.22330097
1,23.1292517
1,29.87704918
1,35.78947368
1,12.01265823
1,20.70422535
1,29.19847328
1,31.18421053
1,27.74311927
1,31.84955752
1,30.45714286
1,28.85526316
1,24.84507042
1,31.15044248
1,29.4887218
1,31.98130841
1,36.26415094
1,30
1,38.28461538
1,34
1,36.33027523
1,30.62068966
1,20.95575221
1,33.33333333
1,25.66956522
1,16.99750623
1,34.89230769
1,20.625
1,33.53174603
1,30.62937063
1,34.05309735
2,42.98644986
2,36.27272727
2,37.49565217
2,50.94791667
2,44.46808511
2,41.29292929
2,42.66141732
2,45.81818182
2,41.89285714
2,40.66363636
2,46.63247863
2,44.14414414
2,43.35031847
2,34.13793103
2,54.01574803
2,44.37254902
2,42
2,48
2,44.064
2,45.50943396
2,40.52631579
2,47.82481752
2,40.28571429
2,54.07407407
2,31.7654321
2,46.38655462
2,29.33333333
2,42.12244898
2,46.35114504
2,34.7008547
2,36.25
2,33.6484375
2,45.27272727
2,58.14084507
2,42.90322581
2,33.01449275
2,41.66666667
2,40.99342105
2,40.83898305
2,36.51094891
2,51.01694915
2,52.86885246
2,47.21311475
2,38.52147239
2,35.72519084
2,50.58441558
2,49.00952381
2,36.5
2,46.04123711
2,33
2,56.53846154
2,44.89928058
2,29.53913043
2,47.00884956
2,28.53658537
2,34.5
2,50.06511628
2,50.93877551
2,48.19047619
2,50.36241611
2,50.09174312
2,36.1025641
2,48
2,43.19526627
2,53.95
2,52.32885906
2,55.63636364
2,45.24880383
2,42.91503268
2,46.02608696
2,42.17687075
2,59.5
2,44.92857143
2,49.62222222
2,38.50632911
2,62.20952381
2,48.29943503
2,27.89071038
2,54.84768212
2,50.5
2,58.97435897
2,54.0972973
2,59.33333333
2,32.74311927
2,50.98901099
2,54.85915493
2,53.11428571
2,40.68656716
2,38.30645161
2,48.64122137
2,57.6
2,53.60759494
2,49
2,50.75862069
2,35.37423313
2,50.0248139
2,44.33774834
2,52.62162162
2,48.40294511
2,39.41052632
2,56.75324675
2,47.22580645
2,58.29508197
2,46.6875
2,50.06395349
2,57.90697674
2,51.43262411
2,41.43646409
2,33
2,43.69942197
2,48.5840708
2,56.93793103
2,51.28712871
2,43.64285714
2,61.33333333
2,55.71766849
2,52.36363636
2,50.77575758
2,46.66666667
2,60.96666667
2,58.57386364
2,64.95283019
2,40.92626728
2,61
2,45.45454545
2,49.41708543
2,51.17159763
2,55.44827586
2,46.57222222
2,28.38926174
2,50
2,50.375
2,37.875
2,37.57894737
2,46.66363636
2,46.94711538
2,43.77272727
2,56.06965174
2,39.97687861
2,49.95
2,44.74025974
